"ProductID","ProductName","Description","Price","Category","Brand","Weight","Flavor","Grain","Material","Color","SubCategory"
"1","Real Beef and Brown Rice Recipe",NULL,"76.9900","Dog Food","Merrick","25.0000","Beef","1",NULL,NULL,"Dry Dog Food"
"2","Real Beef and Brown Rice Recipe",NULL,"76.9900","Dog Food","Merrick","25.0000","Beef","1",NULL,NULL,"Dry Dog Food"
"3","Backcountry Great Plains Red Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Beef, Lamb","1",NULL,NULL,"Dry Dog Food"
"4","Backcountry Pacific Catch Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Salmon, Whitefish","1",NULL,NULL,"Dry Dog Food"
"5","Backcountry Puppy Recipe & Grains",NULL,"55.9800","Dog Food","Merrick","10.0000","Chicken, Salmon","1",NULL,NULL,"Dry Dog Food"
"6","Real Duck & Sweet Potato",NULL,"77.9800","Dog Food","Merrick","22.0000","Duck","0",NULL,NULL,"Dry Dog Food"
"7","Backcountry Great Plains Red Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Beef, Lamb","0",NULL,NULL,"Dry Dog Food"
"8","Lil Plates Real Chicken & Sweet Potato",NULL,"23.9800","Dog Food","Merrick","4.0000","Chicken","0",NULL,NULL,"Dry Dog Food"
"9","Real Texas Beef & Sweet Potato Recipe",NULL,"76.9800","Dog Food","Merrick","22.0000","Beef","0",NULL,NULL,"Dry Dog Food"
"10","Real Chicken & Sweet Potato Recipe",NULL,"76.9900","Dog Food","Merrick","22.0000","Chicken","0",NULL,NULL,"Dry Dog Food"
"11","Limited Ingredient Diet - Poultry Free",NULL,"75.9800","Dog Food","Merrick","4.0000","Lamb","0",NULL,NULL,"Dry Dog Food"
"12","Backcountry Hero Banquet",NULL,"84.9800","Dog Food","Merrick","20.0000","Beef, Turkey","0",NULL,NULL,"Dry Dog Food"
"13","Backcountry Pacific Catch Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Salmon, Whitefish","0",NULL,NULL,"Dry Dog Food"
"14","Backcountry Game Bird Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Turkey, Duck","0",NULL,NULL,"Dry Dog Food"
"15","Backcountry Heartlands Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Beef, Bison","0",NULL,NULL,"Dry Dog Food"
"16","Backcountry Big Game Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Lamb, Venison","0",NULL,NULL,"Dry Dog Food"
"17","Backcountry Large Breed Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Beef","0",NULL,NULL,"Dry Dog Food"
"18","Backcountry Puppy Recipe",NULL,"84.9800","Dog Food","Merrick","20.0000","Chicken, Salmon","0",NULL,NULL,"Dry Dog Food"
"19","Merrick Grain Free Real Chicken Dinner 12.7 oz Can",NULL,"3.1900","Dog Food","Merrick","0.8000","Chicken","0",NULL,NULL,"Canned Dog Food"
"20","Merrick Grain Free Real Beef Dinner 12.7 oz Can",NULL,"3.2900","Dog Food","Merrick","0.8000","Beef","0",NULL,NULL,"Canned Dog Food"
"21","Merrick Grain Free Real Duck Dinner 12.7 oz Can",NULL,"3.4900","Dog Food","Merrick","0.8000","Duck","0",NULL,NULL,"Canned Dog Food"
"22","Merrick Grain Free Real Beef, Lamb & Bison Dinner 12.7 oz Can",NULL,"3.4900","Dog Food","Merrick","0.8000","Beef, Lamb, Bison","0",NULL,NULL,"Canned Dog Food"
"23","Merrick Grain Free Real Lamb Dinner 12.7 oz Can",NULL,"3.2900","Dog Food","Merrick","0.8000","Lamb","0",NULL,NULL,"Canned Dog Food"
"24","Merrick Grain Free Real Turkey Dinner 12.7 oz Can",NULL,"3.2900","Dog Food","Merrick","0.8000","Turkey","0",NULL,NULL,"Canned Dog Food"
"25","Merrick Grain Free Backcountry Real Chicken Dinner 12.7 oz Can",NULL,"3.3900","Dog Food","Merrick","0.8000","Chicken","0",NULL,NULL,"Canned Dog Food"
"26","Merrick Grain Free Backcountry Real Beef Dinner 12.7 oz Can",NULL,"3.3900","Dog Food","Merrick","0.8000","Beef","0",NULL,NULL,"Canned Dog Food"
